title,UPC,star_rating,price,in_stock,stock_count,link
A Light in the Attic,a897fe39b1053632,3,51.77,True,22,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,90fa61229261140a,1,53.74,True,20,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,6957f44c3847a760,1,50.1,True,20,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,e00eb4fd7b871a48,4,47.82,True,20,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,4165285e1663650f,5,54.23,True,20,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,f77dbf2323deb740,1,22.65,True,19,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,4,33.34,True,19,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,3,17.93,True,19,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,4,22.6,True,19,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,1dfe412b8ac00530,1,52.15,True,19,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,2,13.99,True,19,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,30a7f60cd76ca58c,4,20.66,True,19,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,ce6396b0f23f6ecc,5,17.46,True,19,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,5,52.29,True,19,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,a34ba96d4081e6a4,5,35.02,True,19,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,3,57.25,True,19,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,feb7cc7701ecf901,1,23.88,True,19,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,1,37.59,True,19,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,a18a4f574854aced,2,51.33,True,19,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,a22124811bfa8350,2,45.17,True,19,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,23356462d1320d61,1,12.84,True,19,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,327f68a59745c102,2,37.32,True,19,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",5674a18a29a43ced,3,30.52,True,19,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),c2e46a2ee3b4a322,5,25.27,True,19,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,00bfed9e18bb36f3,5,34.53,True,19,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,9528d0948525bf5f,3,54.64,True,19,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f,3,22.5,True,19,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,904208d6aa64b655,3,53.13,True,19,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,4c28def39d850cdf,5,40.3,True,18,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,ccd9ffa25efabdea,4,44.18,True,18,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50,5,17.66,True,18,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf,3,31.05,True,18,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,5dada2b7be26bd03,5,23.82,True,18,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
